date,pr,tasmax,tasmin,year,month
1901-01-01,33.17,15.8,1.34,1901,1
1901-02-01,13.82,17.25,3.25,1901,2
1901-03-01,23.8,24.56,10.42,1901,3
1901-04-01,14.41,29.53,14.9,1901,4
1901-05-01,31.31,34.52,19.57,1901,5
1901-06-01,12.88,37.45,23.49,1901,6
1901-07-01,67.19,36.07,24.26,1901,7
1901-08-01,22.7,34.54,22.94,1901,8
1901-09-01,14.17,33.23,19.66,1901,9
1901-10-01,3.18,30.19,14.12,1901,10
1901-11-01,1.1,24.51,8.24,1901,11
1901-12-01,5.24,19.09,4.02,1901,12
1902-01-01,5.72,17.56,3.1,1902,1
1902-02-01,7.05,18.94,4.95,1902,2
1902-03-01,15.73,25.03,10.9,1902,3
1902-04-01,15.95,30.14,15.52,1902,4
1902-05-01,14.92,35.03,20.08,1902,5
1902-06-01,18.08,36.88,22.92,1902,6
1902-07-01,32.0,35.93,24.13,1902,7
1902-08-01,36.48,35.03,23.43,1902,8
1902-09-01,19.0,32.91,19.33,1902,9
1902-10-01,5.81,29.8,13.73,1902,10
1902-11-01,12.64,24.03,7.76,1902,11
1902-12-01,7.58,18.12,3.05,1902,12
1903-01-01,21.1,15.96,1.5,1903,1
1903-02-01,13.47,17.77,3.78,1903,2
1903-03-01,32.56,21.81,7.68,1903,3
1903-04-01,14.08,28.38,13.75,1903,4
1903-05-01,28.63,34.04,19.09,1903,5
1903-06-01,9.22,37.82,23.86,1903,6
1903-07-01,73.92,35.81,24.01,1903,7
1903-08-01,38.36,34.35,22.75,1903,8
1903-09-01,24.01,33.42,19.85,1903,9
1903-10-01,2.37,29.93,13.85,1903,10
1903-11-01,2.0,23.07,6.8,1903,11
1903-12-01,11.08,17.65,2.57,1903,12
1904-01-01,37.76,15.27,0.8,1904,1
1904-02-01,12.05,18.9,4.91,1904,2
1904-03-01,48.93,23.36,9.23,1904,3
1904-04-01,11.97,30.01,15.38,1904,4
1904-05-01,10.72,34.58,19.63,1904,5
1904-06-01,7.94,37.19,23.22,1904,6
1904-07-01,30.52,35.33,23.52,1904,7
1904-08-01,31.14,34.36,22.76,1904,8
1904-09-01,17.9,32.87,19.29,1904,9
1904-10-01,7.15,29.43,13.35,1904,10
1904-11-01,10.83,23.94,7.68,1904,11
1904-12-01,8.25,18.69,3.61,1904,12
1905-01-01,41.92,15.05,0.59,1905,1
1905-02-01,29.04,15.46,1.47,1905,2
1905-03-01,34.73,21.11,6.98,1905,3
1905-04-01,13.94,28.35,13.71,1905,4
1905-05-01,13.03,35.43,20.48,1905,5
1905-06-01,9.08,37.37,23.41,1905,6
1905-07-01,26.33,35.8,24.01,1905,7
1905-08-01,16.87,34.94,23.35,1905,8
1905-09-01,32.68,33.25,19.67,1905,9
1905-10-01,2.52,30.37,14.28,1905,10
1905-11-01,1.08,24.76,8.49,1905,11
1905-12-01,23.13,18.3,3.22,1905,12
1906-01-01,9.48,15.27,0.81,1906,1
1906-02-01,56.55,16.71,2.73,1906,2
